'{1},ʔ{1}
'{1}l{2},l{2}ˀ{1}
'{1}m{2},ʔ{1}m{2}
'{1}n{2},ʔ{1}n{2}
'{1}w{2},w{2}ˀ{1}
'{1}y{2},j{2}ˀ{1}
a{1},æ{1}
a{1}a{2}, a{1}ː{1} or ʌ{1}ː{2}
b,b
d,d
e{1},i{2}
e{1}e{2},e{1}ː{2}
g{1},ɟ{1}
g{1}\u0332{2},ɢ{1}
g{1}y{2},ɟ{1}
g{1}w{2},g{1}ʷ{2}
h,h
h{1}l{2},ɬ{1}
i,i
i{1}i{2},i{1}ː{2}
j{1},ʣ{1}
k,k
k{1}\u0332{2},q{1}
k{1}'{2},k{1}ˀ{2}
k{1}\u0332{2}'{3},q{1}ˀ{3}
k{1}y{2}'{3},k{1}ˀ{3}
k{1}w{2},k{1}ʷ{2}
k{1}w{2}'{3},k{1}ʷ{2}ˀ{3}
l,l
m,m
n,n
o{1},ɔ{1} or o{1}
o{1}o{2},o{1}ː{2}
p,p
p{1}'{2},p{1}ˀ{2}
s,s
t,t
t{1}'{2},t{1}ˀ{2}
t{1}l{2}'{3},t{1}\u0361{4}ɬ{2}
t{1}s{2},ʦ{1}
t{1}s{2}'{3},ʦ{1}ˀ{3}
u,u
u{1}u{2},u{1}ː{2}
w,w
x,x
x{1}\u0332{2},χ{1}
x{1}w{1},x{1}ʷ{2}
y{1},j{2}
