\uF000,x\u030c
\uF101,c\u0313
\uF102,c\u030c\u0313
\uF103,g\u0313
\uF104,j\u030c\u0313
\uF105,k\u0313
\uF106,l\u0315
\uF107,m\u0313
\uF108,n\u0313
\uF109,ŋ\u0313
\uF10A,p\u0313
\uF10B,q\u0313
\uF10C,r\u0313
\uF10D,t\u0315
\uF10E,w\u0313
\uF10F,y\u0313
\uF110,z\u0313
\uF111,ƛ\u0313
\uF112,ɣ\u0313
\uF113,ʕ\u0315
\uF114,s\u0313
\uF121,w\u0325
\uF131,ᶻ
\uF132,ᶿ
\uF133,ˡ
\uF141,ə\u0300
\uF142,ə\u0301
\uF181,l\u0329
\uF182,m\u0329
\uF183,n\u0329
\uF184,r\u0329
\uF191,a\u0332
\uF197,g\u0332
\uF19B,k\u0332
\uF1A8,x\u0332
\uF1CB,k\u0332\u0313
\uF204,√
ล,h\u0323
ɤ,ɣ
∛,·
∙,·
